Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,NumberOfTrips,MonthlyIncome,NumberOfChildrenVisiting,Gender,MaritalStatus,TypeofContact,Occupation,ProductPitched,Designation,CityTier,PreferredPropertyStar,Passport,PitchSatisfactionScore,OwnCar
44.0,8.0,3,1.0,2.0,22879.0,0.0,Female,Married,Self Enquiry,Salaried,Standard,Senior Manager,1,3.0,1,4,1
35.0,20.0,3,4.0,3.0,27306.0,2.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,3,3.0,0,1,1
47.0,7.0,4,4.0,3.0,29131.0,2.0,Female,Married,Self Enquiry,Small Business,Standard,Senior Manager,3,5.0,0,2,1
32.0,6.0,3,3.0,2.0,21220.0,0.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,1,4.0,0,3,1
59.0,9.0,3,4.0,6.0,21157.0,2.0,Male,Single,Self Enquiry,Large Business,Basic,Executive,1,3.0,0,2,1
44.0,11.0,2,3.0,1.0,33213.0,1.0,Male,Divorced,Self Enquiry,Small Business,King,VP,3,4.0,0,5,1
32.0,35.0,2,4.0,2.0,17837.0,0.0,Female,Single,Self Enquiry,Salaried,Basic,Executive,1,4.0,0,3,1
27.0,7.0,3,4.0,3.0,23974.0,2.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,5,0
38.0,8.0,2,4.0,4.0,20249.0,1.0,Male,Divorced,Company Invited,Salaried,Deluxe,Manager,3,3.0,0,5,1
32.0,12.0,3,4.0,2.0,23499.0,1.0,Male,Married,Self Enquiry,Large Business,Basic,Executive,1,3.0,1,4,1
40.0,30.0,3,3.0,2.0,18319.0,1.0,Male,Married,Self Enquiry,Large Business,Deluxe,Manager,1,3.0,0,3,1
38.0,20.0,3,4.0,3.0,22963.0,1.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,1,3.0,0,1,0
35.0,6.0,3,3.0,2.0,23789.0,0.0,Fe Male,Unmarried,Company Invited,Small Business,Standard,Senior Manager,3,3.0,0,5,1
35.0,8.0,3,3.0,2.0,17074.0,1.0,Female,Married,Self Enquiry,Salaried,Basic,Executive,1,5.0,1,1,1
34.0,17.0,3,6.0,2.0,22086.0,1.0,Male,Married,Self Enquiry,Small Business,Basic,Executive,1,3.0,0,5,0
33.0,36.0,3,5.0,3.0,21515.0,1.0,Female,Unmarried,Self Enquiry,Salaried,Basic,Executive,1,4.0,0,3,1
51.0,15.0,3,3.0,4.0,17075.0,0.0,Male,Divorced,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,3,1
29.0,30.0,2,1.0,2.0,16091.0,1.0,Male,Single,Company Invited,Large Business,Basic,Executive,3,5.0,0,3,1
34.0,25.0,3,2.0,1.0,20304.0,2.0,Male,Single,Company Invited,Small Business,Deluxe,Manager,3,3.0,1,2,1
38.0,14.0,2,4.0,6.0,32342.0,1.0,Male,Single,Self Enquiry,Small Business,Standard,Senior Manager,1,3.0,0,2,0
46.0,6.0,3,3.0,1.0,24396.0,0.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,1,5.0,0,2,0
54.0,25.0,2,3.0,3.0,25725.0,0.0,Male,Divorced,Self Enquiry,Small Business,Standard,Senior Manager,2,4.0,0,3,1
56.0,15.0,2,3.0,1.0,26103.0,0.0,Male,Married,Self Enquiry,Small Business,Super Deluxe,AVP,1,3.0,0,4,0
30.0,10.0,2,3.0,19.0,17285.0,1.0,Male,Single,Company Invited,Large Business,Basic,Executive,1,3.0,1,4,1
26.0,6.0,3,3.0,1.0,17867.0,2.0,Male,Single,Self Enquiry,Small Business,Basic,Executive,1,5.0,0,5,1
33.0,13.0,2,3.0,1.0,26691.0,0.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,1,3.0,0,4,1
24.0,23.0,3,4.0,2.0,17127.0,1.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,4.0,0,3,1
30.0,36.0,4,6.0,2.0,25062.0,3.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,5,1
33.0,8.0,3,3.0,1.0,20147.0,0.0,Female,Single,Company Invited,Small Business,Deluxe,Manager,3,4.0,0,1,0
53.0,8.0,2,4.0,3.0,22525.0,0.0,Female,Married,Company Invited,Small Business,Standard,Senior Manager,3,4.0,0,1,1
29.0,14.0,3,4.0,2.0,23576.0,2.0,Male,Unmarried,Company Invited,Salaried,Deluxe,Manager,3,5.0,0,3,1
39.0,15.0,2,3.0,2.0,20151.0,0.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,0,4,1
46.0,9.0,4,4.0,2.0,23483.0,3.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,3,4.0,0,5,1
35.0,14.0,3,4.0,2.0,30672.0,1.0,Female,Single,Self Enquiry,Salaried,Standard,Senior Manager,1,4.0,0,3,1
35.0,9.0,4,4.0,8.0,20909.0,1.0,Female,Married,Company Invited,Small Business,Basic,Executive,3,3.0,0,5,0
33.0,7.0,4,5.0,8.0,21010.0,3.0,Female,Married,Company Invited,Salaried,Basic,Executive,1,4.0,0,3,0
29.0,16.0,2,4.0,2.0,21623.0,0.0,Female,Unmarried,Company Invited,Salaried,Basic,Executive,1,3.0,0,4,1
41.0,16.0,2,3.0,1.0,21230.0,1.0,Male,Single,Company Invited,Salaried,Deluxe,Manager,3,3.0,0,1,0
43.0,36.0,3,6.0,6.0,22950.0,1.0,Male,Unmarried,Self Enquiry,Small Business,Deluxe,Manager,1,3.0,0,3,1
35.0,13.0,3,6.0,2.0,21029.0,2.0,Female,Married,Company Invited,Small Business,Basic,Executive,3,3.0,0,4,0
41.0,12.0,3,3.0,4.0,28591.0,0.0,Female,Single,Self Enquiry,Salaried,Standard,Senior Manager,3,3.0,1,1,0
33.0,6.0,2,4.0,1.0,21949.0,0.0,Female,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,4,0
40.0,15.0,2,3.0,1.0,28499.0,0.0,Fe Male,Unmarried,Company Invited,Small Business,Standard,Senior Manager,1,3.0,0,4,0
26.0,9.0,3,3.0,1.0,18102.0,1.0,Male,Single,Company Invited,Large Business,Basic,Executive,1,5.0,0,3,0
